english|russian
UNANIMOUSLY  The Board voted unanimously to terminate his three-year contract.|ЕДИНОГЛАСНО  Совет единогласно проголосовал за расторжение его трехлетнего контракта.
CUNNING They made their way safely back through enemy territory by stealth and cunning.|ХИТРОСТЬ Скрытно и хитростью они проложили себе путь через вражескую территорию.
NUISANCE noise/odour/public nuisance The EPA says the landfill is a public nuisance because of the odors.|НЕПРИЯТНОСТЬ Шум/ запах/ общественная неприятность EPA утверждает, что свалка является общественной неприятностью из-за запахов.
FUTILE futile attempt Attempts to get supplies to the region are futile because troops will not allow the aid convoy to enter the city.|ТЩЕТНО Тщетная попытка Попытки доставить грузы в регион оказываются тщетными, поскольку войска не позволяют конвою с гуманитарной помощью войти в город.
PERSEVERE  The prime minister is aware of the risks of persevering with an unpopular policy.|УПОРСТВОВАТЬ  Премьер-министр осознает риски, связанные с продолжением непопулярной политики.
NONCHALANT Once on a safari Charles found 14 female lions walking nonchalantly across an open field.|БЕССТРАСТНЫЙ Однажды во время сафари Чарльз обнаружил 14 самок львов, беспечно прогуливающихся по открытому полю.
BURDEN ease/lighten/reduce the burden (on sb) By training additional staff, management could significantly ease the burden on its over-worked personnel.|БРЕМЯ облегчить/облегчить/сократить бремя (для кого-л.) Обучив дополнительный персонал, руководство могло бы значительно облегчить бремя для своих перегруженных работой сотрудников.
NOSEY take a nosy After taking a nosey at the specials board, I opted for the steak and chips. |НОСАТЫЙ Полюбопытствовав на доске специальных предложений, я выбрал стейк с картошкой.
FRIGID  It’s frigid in here – could you turn down the air-conditioning?|ХОЛОДНЫЙ  Здесь холодно - не могли бы вы выключить кондиционер?
SOONER-OR-LATER Sooner or later she's going to realize what a mistake she's made.|РАНО ИЛИ ПОЗДНО Рано или поздно она поймет, какую ошибку совершила.
JEOPARDY The deal could be in jeopardy if it emerges the company is engaged in activities prohibited by the US government.|ОПАСНОСТЬ Сделка может оказаться под угрозой, если выяснится, что компания занимается деятельностью, запрещенной правительством США.
COERCION He claimed the police had used coercion, threats, and promises to obtain the statement illegally.|ПРИНУЖДЕНИЕ Он утверждал, что полиция использовала принуждение, угрозы и обещания, чтобы незаконно получить показания.
